"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2025","25,562.13","25,458.87","25,667.40","25,399.36","3.43B","0.68%"
"07/25/2025","25,388.35","25,531.59","25,585.73","25,355.31","3.41B","-1.09%"
"07/24/2025","25,667.18","25,528.22","25,735.89","25,502.49","3.60B","0.51%"
"07/23/2025","25,538.07","25,348.30","25,538.07","25,228.01","4.14B","1.62%"
"07/22/2025","25,130.03","25,024.93","25,130.03","24,900.59","3.82B","0.54%"
"07/21/2025","24,994.14","24,991.14","25,010.90","24,844.80","3.61B","0.68%"
"07/18/2025","24,825.66","24,757.83","24,825.66","24,630.79","2.90B","1.33%"
"07/17/2025","24,498.95","24,547.08","24,672.51","24,447.93","3.21B","-0.08%"
"07/16/2025","24,517.76","24,704.05","24,867.81","24,517.75","3.38B","-0.29%"
"07/15/2025","24,590.12","24,281.94","24,590.12","24,141.88","3.77B","1.60%"
"07/14/2025","24,203.32","24,100.57","24,267.84","24,097.32","2.73B","0.26%"
"07/11/2025","24,139.57","24,033.12","24,506.30","24,033.12","4.14B","0.46%"
"07/10/2025","24,028.37","23,865.64","24,087.59","23,820.58","3.50B","0.57%"
"07/09/2025","23,892.32","24,061.08","24,061.08","23,827.15","3.20B","-1.06%"
"07/08/2025","24,148.07","23,927.53","24,159.01","23,899.60","3.04B","1.09%"
"07/07/2025","23,887.83","23,828.85","23,910.95","23,713.78","2.52B","-0.12%"
"07/04/2025","23,916.06","23,900.69","24,068.51","23,690.94","4.02B","-0.64%"
"07/03/2025","24,069.94","24,234.28","24,269.14","23,920.00","3.59B","-0.63%"
"07/02/2025","24,221.41","24,304.31","24,372.70","24,122.57","4.06B","0.62%"
"06/30/2025","24,072.28","24,274.91","24,274.91","24,064.26","3.78B","-0.87%"
"06/27/2025","24,284.15","24,451.19","24,471.53","24,194.85","4.34B","-0.17%"
"06/26/2025","24,325.40","24,345.29","24,411.48","24,235.54","3.26B","-0.61%"
"06/25/2025","24,474.67","24,327.82","24,533.39","24,287.86","3.72B","1.23%"
"06/24/2025","24,177.07","23,832.73","24,229.21","23,832.73","4.00B","2.06%"
"06/23/2025","23,689.13","23,335.51","23,689.13","23,272.75","3.23B","0.67%"
"06/20/2025","23,530.48","23,291.40","23,538.63","23,291.40","4.80B","1.26%"
"06/19/2025","23,237.74","23,620.02","23,653.55","23,185.58","3.87B","-1.99%"
"06/18/2025","23,710.69","23,859.55","23,880.24","23,631.48","3.26B","-1.12%"
"06/17/2025","23,980.30","24,107.34","24,131.44","23,880.67","3.37B","-0.34%"
"06/16/2025","24,060.99","23,791.79","24,125.05","23,718.72","3.83B","0.70%"
"06/13/2025","23,892.56","23,959.81","24,100.32","23,774.92","4.93B","-0.59%"
"06/12/2025","24,035.38","24,223.12","24,288.76","24,002.42","4.33B","-1.36%"
"06/11/2025","24,366.94","24,191.32","24,439.35","24,179.35","3.70B","0.84%"
"06/10/2025","24,162.87","24,231.31","24,296.47","24,003.38","3.69B","-0.08%"
"06/09/2025","24,181.43","23,977.54","24,181.43","23,957.96","3.99B","1.63%"
"06/06/2025","23,792.54","23,941.57","23,951.14","23,773.36","4.38B","-0.48%"
"06/05/2025","23,906.97","23,828.69","23,911.14","23,732.31","3.27B","1.07%"
"06/04/2025","23,654.03","23,499.78","23,716.93","23,481.46","3.50B","0.60%"
"06/03/2025","23,512.49","23,281.10","23,535.37","23,281.10","3.68B","1.53%"
"06/02/2025","23,157.97","23,043.10","23,163.35","22,668.35","2.31B","-0.57%"
"05/30/2025","23,289.77","23,339.64","23,375.34","23,163.22","5.29B","-1.20%"
"05/29/2025","23,573.38","23,240.71","23,603.82","23,207.37","3.71B","1.35%"
"05/28/2025","23,258.31","23,385.18","23,476.22","23,180.17","2.87B","-0.53%"
"05/27/2025","23,381.99","23,216.87","23,419.55","23,167.56","3.08B","0.43%"
"05/26/2025","23,282.33","23,505.90","23,571.02","23,234.27","3.38B","-1.35%"
"05/23/2025","23,601.26","23,557.38","23,749.38","23,487.40","3.35B","0.24%"
"05/22/2025","23,544.31","23,748.58","23,778.24","23,470.81","3.40B","-1.19%"
"05/21/2025","23,827.78","23,736.43","23,917.00","23,697.76","3.46B","0.62%"
"05/20/2025","23,681.48","23,398.35","23,709.04","23,357.00","3.29B","1.49%"
"05/19/2025","23,332.72","23,156.27","23,402.20","23,059.89","2.81B","-0.05%"
"05/16/2025","23,345.05","23,249.16","23,374.70","23,190.31","2.76B","-0.46%"
"05/15/2025","23,453.16","23,644.40","23,710.82","23,371.73","2.89B","-0.79%"
"05/14/2025","23,640.65","23,316.45","23,640.65","23,278.22","3.74B","2.30%"
"05/13/2025","23,108.27","23,494.44","23,494.44","23,070.48","3.48B","-1.87%"
"05/12/2025","23,549.46","23,183.81","23,685.34","22,982.91","5.16B","2.98%"
"05/09/2025","22,867.74","22,856.21","22,907.91","22,692.44","2.64B","0.40%"
"05/08/2025","22,775.92","22,589.13","22,979.29","22,589.13","2.77B","0.37%"
"05/07/2025","22,691.88","23,169.83","23,197.57","22,691.88","3.69B","0.13%"
"05/06/2025","22,662.71","22,576.56","22,747.63","22,449.16","3.32B","0.70%"
"05/02/2025","22,504.68","22,192.51","22,532.54","22,058.30","1.83B","1.74%"
"04/30/2025","22,119.41","22,038.73","22,129.31","21,848.33","4.68B","0.51%"
"04/29/2025","22,008.11","22,073.36","22,213.51","21,918.10","3.05B","0.16%"
"04/28/2025","21,971.96","22,072.35","22,072.35","21,817.85","2.47B","-0.04%"
"04/25/2025","21,980.74","22,080.44","22,267.96","21,923.90","3.03B","0.32%"
"04/24/2025","21,909.76","22,030.15","22,093.68","21,712.10","2.99B","-0.74%"
"04/23/2025","22,072.62","22,080.19","22,138.81","21,862.87","3.59B","2.37%"
"04/22/2025","21,562.32","21,303.51","21,592.67","21,191.02","3.88B","0.78%"
"04/17/2025","21,395.14","21,066.81","21,417.64","21,039.16","2.89B","1.61%"
"04/16/2025","21,056.98","21,316.47","21,363.57","20,868.36","3.44B","-1.91%"
