"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2021","978.01","970.99","978.01","970.60","81.92M","0.84%"
"06/03/2021","969.86","973.37","973.87","963.39","95.72M","-0.38%"
"06/02/2021","973.54","976.19","977.49","969.66","96.63M","0.15%"
"06/01/2021","972.04","972.13","974.91","967.62","108.83M","0.35%"
"05/31/2021","968.63","971.50","971.50","966.75","79.36M","0.24%"
"05/28/2021","966.28","963.95","966.28","960.25","104.47M","0.69%"
"05/27/2021","959.65","959.55","959.65","955.38","108.72M","0.38%"
"05/26/2021","956.00","959.70","961.69","953.57","115.69M","0.11%"
"05/25/2021","954.96","962.38","965.58","953.56","129.64M","-0.24%"
"05/21/2021","957.22","955.31","957.47","947.88","96.43M","0.89%"
"05/20/2021","948.73","943.77","948.73","942.54","94.33M","1.29%"
"05/19/2021","936.61","933.52","940.24","929.57","117.19M","-1.22%"
"05/18/2021","948.15","948.44","950.65","946.30","108.35M","0.55%"
"05/17/2021","942.97","932.28","942.97","930.98","125.95M","1.24%"
"05/14/2021","931.38","916.87","931.38","916.61","114.42M","2.54%"
"05/13/2021","908.35","909.15","916.89","902.30","122.74M","-0.28%"
"05/12/2021","910.92","932.18","932.34","909.05","106.10M","-2.10%"
"05/11/2021","930.45","927.36","930.97","914.77","132.73M","-1.05%"
"05/10/2021","940.34","961.87","962.87","938.67","128.54M","-1.53%"
"05/07/2021","954.98","949.79","955.59","949.79","111.47M","1.19%"
"05/06/2021","943.77","949.15","949.15","941.11","116.69M","-0.20%"
"05/05/2021","945.69","948.38","948.97","942.08","104.14M","0.13%"
"05/04/2021","944.49","956.53","956.84","935.19","118.76M","-1.48%"
"05/03/2021","958.66","961.44","962.05","956.26","128.88M","0.36%"
"04/30/2021","955.26","947.58","955.26","943.47","112.12M","1.03%"
"04/29/2021","945.56","953.61","955.13","941.92","114.95M","-0.60%"
"04/28/2021","951.25","948.73","951.25","945.52","102.76M","0.49%"
"04/27/2021","946.61","949.16","951.23","943.71","112.51M","0.34%"
"04/26/2021","943.39","937.99","943.39","937.63","114.50M","1.37%"
"04/23/2021","930.63","922.83","930.63","922.83","105.78M","1.05%"
"04/22/2021","921.00","936.26","936.26","919.91","114.03M","-0.85%"
"04/21/2021","928.91","916.66","929.16","914.98","104.44M","1.55%"
"04/20/2021","914.76","927.29","929.87","909.06","123.86M","-1.55%"
"04/19/2021","929.17","948.66","948.66","926.98","173.46M","-1.62%"
"04/16/2021","944.46","943.82","945.00","937.63","110.19M","0.60%"
"04/15/2021","938.82","936.33","944.86","933.18","115.99M","1.53%"
"04/14/2021","924.66","934.28","938.33","922.57","92.45M","-0.93%"
"04/13/2021","933.31","944.36","945.63","931.83","82.91M","-0.89%"
"04/12/2021","941.71","962.08","962.58","937.78","90.59M","-1.84%"
"04/09/2021","959.37","964.41","964.41","956.00","77.59M","-0.35%"
"04/08/2021","962.73","962.67","963.19","957.42","82.89M","0.80%"
"04/07/2021","955.09","967.60","968.07","951.87","71.57M","-0.92%"
"04/06/2021","963.96","964.03","967.13","961.95","86.68M","0.28%"
"04/05/2021","961.25","963.61","966.99","960.49","82.60M","0.04%"
"04/01/2021","960.84","962.94","965.84","959.83","82.52M","0.87%"
"03/31/2021","952.55","934.36","952.55","931.62","86.53M","2.53%"
"03/30/2021","929.07","933.07","933.85","924.36","70.66M","-0.72%"
"03/29/2021","935.83","947.77","948.62","931.90","76.77M","-0.79%"
"03/26/2021","943.29","941.89","946.31","937.99","77.85M","0.71%"
"03/25/2021","936.60","934.96","937.00","919.25","97.87M","-1.05%"
"03/24/2021","946.51","975.61","975.68","943.53","93.35M","-2.10%"
"03/23/2021","966.82","996.26","996.26","963.65","110.40M","-2.82%"
"03/22/2021","994.83","999.36","1,001.83","993.30","101.54M","-0.10%"
"03/19/2021","995.80","984.17","995.80","977.95","126.44M","1.61%"
"03/18/2021","980.00","999.02","999.02","978.51","108.82M","-1.76%"
"03/17/2021","997.54","976.81","997.54","970.67","138.30M","2.01%"
"03/16/2021","977.87","999.06","999.86","975.02","116.62M","-1.85%"
"03/15/2021","996.33","992.85","996.33","985.49","132.64M","1.44%"
"03/12/2021","982.23","976.72","982.25","969.48","108.07M","0.09%"
"03/11/2021","981.34","976.18","981.34","971.53","103.33M","1.35%"
"03/10/2021","968.23","978.90","980.52","961.55","115.20M","0.42%"
"03/09/2021","964.18","955.73","965.18","954.46","123.10M","3.56%"
"03/08/2021","931.07","932.28","941.50","925.02","111.51M","1.38%"
"03/05/2021","918.36","930.33","930.33","867.26","182.22M","-0.86%"
"03/04/2021","926.31","981.37","984.20","907.23","204.27M","-6.62%"
"03/03/2021","991.98","1,029.96","1,029.96","988.91","158.18M","-3.48%"
"03/02/2021","1,027.75","1,043.78","1,045.85","1,023.75","138.98M","-0.64%"
"03/01/2021","1,034.36","1,039.47","1,041.79","1,032.32","149.61M","1.56%"
"02/26/2021","1,018.50","1,018.73","1,025.57","988.56","175.19M","-1.33%"
"02/25/2021","1,032.28","1,069.52","1,074.99","1,028.77","143.99M","-2.65%"
"02/24/2021","1,060.43","1,052.58","1,061.26","1,046.48","151.72M","2.00%"
"02/23/2021","1,039.60","1,073.40","1,073.40","995.97","209.92M","-4.00%"
"02/22/2021","1,082.96","1,100.48","1,113.64","1,081.11","228.77M","-1.42%"
"02/19/2021","1,098.56","1,087.14","1,100.63","1,085.39","181.07M","2.47%"
"02/18/2021","1,072.09","1,081.76","1,083.54","1,059.10","198.12M","-1.13%"
"02/17/2021","1,084.35","1,090.89","1,098.96","1,065.11","244.63M","-0.35%"
"02/16/2021","1,088.13","1,074.93","1,098.85","1,074.93","262.12M","1.94%"
"02/12/2021","1,067.44","1,039.06","1,068.39","1,028.06","210.66M","2.84%"
"02/11/2021","1,037.97","1,067.01","1,069.17","1,033.89","243.62M","-2.52%"
"02/10/2021","1,064.85","1,075.52","1,079.63","1,045.84","281.65M","-0.60%"
"02/09/2021","1,071.29","1,080.19","1,081.65","1,053.79","228.00M","-0.61%"
"02/08/2021","1,077.85","1,038.33","1,077.85","1,038.33","224.69M","5.40%"
"02/05/2021","1,022.64","1,013.48","1,034.95","1,008.69","161.71M","2.45%"
"02/04/2021","998.14","979.73","998.24","977.58","176.59M","1.96%"
"02/03/2021","978.94","974.56","979.74","971.03","176.22M","1.61%"
